cluster_id	x	y	num_recent_articles	cluster_category	growth_rating	key_concepts
61859	-16.4168	141.8916	69	0	17.6	158707,100190,193087,228420,206151
54751	-29.5799	121.0787	99	0	8.07	178133,196137,55275,41136,178134
59411	-7.9893	124.3223	63	0	84.91	7654,245461,192786,245464,217763
59520	7.3312	140.7383	150	0	14.91	189797,261327,219254,258316,182252
50155	22.6114	107.3054	83	0	39.0	240227,47781,260653,2119,122963
50913	-17.5823	125.5158	86	0	7.93	4164,51589,25368,126003,126103
71614	-49.5728	150.4497	107	0	71.8	45442,162169,123124,45616,205303
43926	34.0143	55.8545	193	0	72.74	164009,177990,126439,164010,137749
83574	12.7134	134.4284	91	0	92.66	24021,140590,23682,162332,192948
48175	11.4101	119.3313	162	0	68.93	36452,88490,21972,99678,91484
31730	-42.4656	117.2494	296	0	53.5	193346,193347,251816,88948,153412
70773	1.7328	130.7042	28	0	92.87	57251,182233,111448,232848,93156
40178	-24.6401	110.8861	64	0	12.09	169265,221999,166093,159704,205126
53465	10.6526	136.9461	154	0	33.34	9189,1480,47359,97181,242824
46179	-41.968	126.4463	261	0	45.63	167199,232210,14387,30002,241950
67907	21.8939	95.3621	59	0	49.26	91356,198858,228420,273582,198952
53801	26.5051	128.5966	112	0	59.86	2118,128715,193065,144722,193007
59146	-1.9167	131.4143	112	0	15.1	8997,126003,5427,171917,5426
69083	18.1749	137.5235	165	0	78.59	111601,100192,198991,198993,111600
48981	-59.5488	151.9868	48	0	61.96	70942,135280,116993,57893,91359
82430	-41.6671	144.005	38	0	94.41	2115,263487,245049,175374,115252
75175	3.7399	125.7948	75	0	77.99	167275,249635,255329,81568,185859
27000	-39.0418	122.3219	152	0	11.86	228872,242200,195113,228871,5029
46754	8.006	136.2252	126	0	51.4	126003,8942,63043,40696,74296
50462	36.8822	120.0628	118	0	68.11	72183,113932,63473,100197,26134
43906	57.0746	48.6832	122	0	13.6	9357,219345,3705,31137,36452
73692	14.6415	123.7992	68	0	53.45	36452,253716,129074,14409,192468
39507	-38.3198	116.22	119	0	35.58	190088,112883,242148,268416,143202
21435	-0.2247	132.5842	307	0	33.39	271614,63201,8452,2118,217748
27230	16.9217	116.573	83	0	4.81	198550,249643,229034,98076,215401
74732	-78.1425	85.7866	19	0	93.75	147624,147625
45595	36.4997	117.5824	11	0	88.12	26165,54796,57391,52168,211501
50419	13.4018	111.7558	56	0	94.98	160362,38007,38029,38038,198991
18523	-3.6202	118.8661	155	0	63.78	228545,228617,176715,115753,200042
36966	9.8849	118.0924	43	0	82.54	26508,164770,114791,206674,193073
